pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
217,上海,2.2,252,重度污染,36,aqi_redis_spider,101,2018-05-12 08:19:14.955000,2013-12-02,267,128
147,上海,1.7,181,中度污染,61,aqi_redis_spider,63,2018-05-12 08:19:19.812000,2014-01-01,195,99
67,上海,0.7,69,良,82,aqi_redis_spider,14,2018-05-12 08:19:19.824000,2014-02-01,89,43
26,上海,0.6,39,优,66,aqi_redis_spider,11,2018-05-12 08:19:19.834000,2014-03-01,39,45
46,上海,0.7,61,良,116,aqi_redis_spider,13,2018-05-12 08:19:19.844000,2014-04-01,64,45
92,上海,0.9,123,轻度污染,189,aqi_redis_spider,22,2018-05-12 08:19:19.853000,2014-05-01,126,45
84,上海,0.9,147,轻度污染,163,aqi_redis_spider,31,2018-05-12 08:19:19.856000,2014-05-02,111,50
22,上海,0.5,31,良,114,aqi_redis_spider,10,2018-05-12 08:19:19.866000,2014-06-01,62,16
46,上海,0.8,50,良,97,aqi_redis_spider,10,2018-05-12 08:19:19.869000,2014-06-02,64,26
150,上海,1.6,152,中度污染,85,aqi_redis_spider,48,2018-05-12 08:19:19.917000,2013-12-03,200,104
121,上海,1.5,140,中度污染,95,aqi_redis_spider,36,2018-05-12 08:19:19.919000,2013-12-04,158,99
238,上海,2.2,251,重度污染,66,aqi_redis_spider,34,2018-05-12 08:19:19.922000,2013-12-05,288,128
452,上海,3,472,严重污染,20,aqi_redis_spider,62,2018-05-12 08:19:19.925000,2013-12-06,468,127
42,上海,0.7,47,良,94,aqi_redis_spider,8,2018-05-12 08:19:19.935000,2014-07-01,59,32
12,上海,0.5,24,优,60,aqi_redis_spider,8,2018-05-12 08:19:26.446000,2014-08-01,30,14
34,上海,0.7,49,良,107,aqi_redis_spider,13,2018-05-12 08:19:26.458000,2014-09-01,56,29
20,上海,0.6,47,良,111,aqi_redis_spider,13,2018-05-12 08:19:26.467000,2014-10-01,59,30
52,上海,1,86,轻度污染,182,aqi_redis_spider,20,2018-05-12 08:19:26.470000,2014-10-02,120,44
69,上海,1.2,73,良,27,aqi_redis_spider,18,2018-05-12 08:19:26.479000,2014-11-01,92,53
113,上海,1.6,131,轻度污染,60,aqi_redis_spider,37,2018-05-12 08:19:26.482000,2014-01-02,147,95
142,上海,1.4,163,中度污染,45,aqi_redis_spider,56,2018-05-12 08:19:26.484000,2014-01-03,189,96
115,上海,1.2,125,中度污染,38,aqi_redis_spider,36,2018-05-12 08:19:26.487000,2014-01-04,151,64
47,上海,1,60,良,31,aqi_redis_spider,25,2018-05-12 08:19:26.490000,2014-01-05,65,63
190,上海,1.9,223,重度污染,45,aqi_redis_spider,13,2018-05-12 08:19:26.493000,2014-02-02,240,40
45,上海,0.6,57,良,64,aqi_redis_spider,11,2018-05-12 08:19:26.496000,2014-02-03,62,19
18,上海,0.4,37,优,75,aqi_redis_spider,12,2018-05-12 08:19:26.499000,2014-02-04,38,13
14,上海,0.4,22,优,73,aqi_redis_spider,11,2018-05-12 08:19:26.502000,2014-02-05,37,20
51,上海,0.9,78,良,107,aqi_redis_spider,21,2018-05-12 08:19:26.504000,2014-03-02,71,39
34,上海,0.7,62,良,101,aqi_redis_spider,14,2018-05-12 08:19:26.507000,2014-03-03,56,37
23,上海,0.7,36,优,81,aqi_redis_spider,17,2018-05-12 08:19:26.510000,2014-03-04,41,52
37,上海,0.7,54,良,92,aqi_redis_spider,14,2018-05-12 08:19:26.513000,2014-03-05,52,30
45,上海,0.6,62,良,87,aqi_redis_spider,15,2018-05-12 08:19:26.516000,2014-04-02,63,53
47,上海,0.6,62,良,125,aqi_redis_spider,15,2018-05-12 08:19:26.518000,2014-04-03,71,44
47,上海,0.7,94,良,115,aqi_redis_spider,27,2018-05-12 08:19:26.520000,2014-04-04,72,61
59,上海,0.7,105,良,106,aqi_redis_spider,25,2018-05-12 08:19:26.522000,2014-04-05,80,55
19,上海,0.4,53,良,102,aqi_redis_spider,11,2018-05-12 08:19:26.525000,2014-04-06,52,31
37,上海,0.6,84,良,127,aqi_redis_spider,15,2018-05-12 08:19:26.528000,2014-05-03,73,30
48,上海,0.9,80,良,86,aqi_redis_spider,16,2018-05-12 08:19:26.531000,2014-05-04,66,59
31,上海,0.5,77,良,124,aqi_redis_spider,15,2018-05-12 08:19:26.533000,2014-05-05,70,38
35,上海,0.5,86,良,140,aqi_redis_spider,16,2018-05-12 08:19:26.536000,2014-05-06,83,42
40,上海,0.7,53,良,96,aqi_redis_spider,18,2018-05-12 08:19:26.538000,2014-06-03,56,33
56,上海,0.8,75,良,94,aqi_redis_spider,18,2018-05-12 08:19:26.540000,2014-06-04,76,40
